		
item	legality	note
jicama	illegal	
juice boxes	illegal	regardless of ingredients
juice from concentrate (any)	illegal	
kala chana - small chickpea w/ brown skin	illegal	"aka: chickpea, ceci bean, bengal gram, hummus, chana, channa"
kale	legal	
kefir	legal	but not recommended. See BTVC site.
"ketchup, commercial"	illegal	
"ketchup, home made"	legal	
"kidney beans - aka: red bean, rajma dal"	legal	
kimchi	legal	
kiwi	legal	
kohlrabi	illegal	
kudzu (or kuzu)	illegal	it's a mucilaginous herb
kumquats	legal	
KyoGreen powder	illegal	
l-leucine aka: leucine	legal	found in supplements
L-Theanine	legal	
Lactaid milk	illegal	aka: lactose hydrolyzed milk
lamb	legal	Fresh and frozen. Check the labels carefully for additives.
lecithin	legal	
leek	legal	
lemons	legal	
lentil flour	illegal	must be soaked before grinding - bought varieties are not.
"lentils - aka: lens, masoor"	legal	see prep guidelines in book
lettuce of all kinds	legal	
licorice	illegal	both a demulcent & laxative
lignin	illegal	
lima beans - fresh or dried.	legal	"aka: madagascar, wax, butter beans - but be careful as favas (illegal) can be called ""butter beans"" as well."
limburger cheese	legal	occasionally - not shredded / grated
limes	legal	
liquid clorychlorophyll	illegal	
macadamia nuts	legal	
macadamia oil	legal	"makes great mayo, says Deb"
magnesium citrate	legal	as a supplement ingredient
magnesium stearate	legal	as a supplement ingredient
malitol	illegal	"sorbitol, mannitol and xylitol are all sugar alcohols"
maltodextrin	illegal	
manchego cheese	legal	no note on site re: frequency
mangoes	legal	
mannitol	illegal	"sorbitol, mannitol and xylitol are all sugar alcohols"
maple syrup	illegal	
margarine	illegal	"milk solids, whey"
marshmallow	illegal	A mucilaginous herb
"masoor dal (dhal, dahl, daal, daar)"	legal	aka: red lentil
mastic gum	illegal	
mead - home made	legal	not commercial
meats - canned	illegal	
meats - processed	illegal	
"medications with 
added carbohydrates"	illegal/legal	avoid if possible
melatonin	illegal	
melons - all types	legal	
methyl cellulose	legal	found in supplements
microcrystalline cellulose	legal	found in supplements
millet	illegal	
miso	illegal	
mixed nuts	illegal	"Nuts sold in mixtures are not allowed, as most are roasted with a starch coating."
molasses	illegal	
molo-cure	illegal	
montery Jack cheese	legal	occasionally - not shredded / grated
mozzarella cheese	illegal	
MSG - aka: hydrolyzed protein	illegal	
mucilaginous herbs	illegal	
mucilaginous polysaccharides	illegal	
muenster cheese	legal	occasionally - not shredded / grated
mung bean	illegal	"aka: mung dal, mash bean, munggo, monggo, green gram, golden gram, green soy"
"mung dal (dhal, dahl, daal, daar)"	illegal	"aka: mung bean, mash bean, munggo, monggo, green gram, golden gram, green soy"
mushrooms	legal	
"mustard, plain"	legal	not gourmet - read label
natural cheeses	legal	see specific varieties for more
natural flavors	illegal	Natural flavoring can be used to refer to anything.
"navy beans - aka: white, haricot, yankee, white pea bean, boston, small white bean, fagioli"	legal	see prep guidelines in book
nectarines	legal	
nettles	illegal	
neufchatel cheese	illegal	
noni juice	illegal	
nutmeg	legal	
nuts in mixtures	illegal	have added starch
oats	illegal	
okra	illegal	"aka: bhindi, drumsticks"
olive oil	legal	highly recommended
olives	legal	"w/o added sugars, etc."
onion powder	illegal	starch base - make home made
onions	legal	fresh - powders have starches
orange juice	legal	"fresh squeezed - not frozen, but avoid in the a.m. Never from concentrate. Tropicana original has been checked out okay."
oranges	legal	
oregano	legal	
papayas	legal	
pappadum	illegal	They  are an Indian snack made from lentils - they're like  a chip. Also contains rice flour
paprika	legal	
parmesan cheese	legal	occasionally - not shredded / grated
parsley	legal	
parsnips	illegal	formerly legal
passion fruit	legal	
"pasta, all kinds"	illegal	
pau d'arco	illegal	aka: bark tea
pea flour	illegal	I imagine it's because it's  not soaked
peaches	legal	
"peanut butter, natural"	legal	without additives of any kind
peanut oil	legal	
pears	legal	
peas	legal	
